window_start,window_time
400,2015-06-03 13:36:01
406,2015-06-03 14:36:01
412,2015-06-03 15:36:01
418,2015-06-03 16:36:01
424,2015-06-03 17:36:01
430,2015-06-03 18:36:01
436,2015-06-03 19:36:01
442,2015-06-03 20:36:01
448,2015-06-03 21:36:01
454,2015-06-03 22:36:01
460,2015-06-03 23:36:01
466,2015-06-04 00:36:01
472,2015-06-04 01:36:01
478,2015-06-04 02:36:01
484,2015-06-04 03:36:01
490,2015-06-04 04:36:01
496,2015-06-04 05:36:01
502,2015-06-04 06:36:01
508,2015-06-04 07:36:01
514,2015-06-04 08:36:01
520,2015-06-04 09:36:01
526,2015-06-04 10:36:01
532,2015-06-04 11:36:01
538,2015-06-04 12:36:01
544,2015-06-04 13:36:01
550,2015-06-04 14:36:01
556,2015-06-04 15:36:01
562,2015-06-04 16:36:01
568,2015-06-04 17:36:01
574,2015-06-04 18:36:01
580,2015-06-04 19:36:01
586,2015-06-04 20:36:01
592,2015-06-04 21:36:01
598,2015-06-04 22:36:01
604,2015-06-04 23:36:01
610,2015-06-05 00:36:01
616,2015-06-05 01:36:01
622,2015-06-05 02:36:01
628,2015-06-05 03:36:01
634,2015-06-05 04:36:01
640,2015-06-05 05:36:01
646,2015-06-05 06:36:01
652,2015-06-05 07:36:01
658,2015-06-05 08:36:01
664,2015-06-05 09:36:01
670,2015-06-05 10:36:01
676,2015-06-05 11:36:01
682,2015-06-05 12:36:01
688,2015-06-05 13:36:01
694,2015-06-05 14:36:01
700,2015-06-05 15:36:01
706,2015-06-05 16:36:01
712,2015-06-05 17:36:01
718,2015-06-05 18:36:01
724,2015-06-05 19:36:01
730,2015-06-05 20:36:01
736,2015-06-05 21:36:01
742,2015-06-05 22:36:01
748,2015-06-05 23:36:01
754,2015-06-06 00:36:01
760,2015-06-06 01:36:01
766,2015-06-06 02:36:01
772,2015-06-06 03:36:01
778,2015-06-06 04:36:01
784,2015-06-06 05:36:01
790,2015-06-06 06:36:01
796,2015-06-06 07:36:01
802,2015-06-06 08:36:01
808,2015-06-06 09:36:01
814,2015-06-06 10:36:01
820,2015-06-06 11:36:01
826,2015-06-06 12:36:01
832,2015-06-06 13:36:01
838,2015-06-06 14:36:01
844,2015-06-06 15:36:01
850,2015-06-06 16:36:01
856,2015-06-06 17:36:01
862,2015-06-06 18:36:01
868,2015-06-06 19:36:01
874,2015-06-06 20:36:01
880,2015-06-06 21:36:01
886,2015-06-06 22:36:01
892,2015-06-06 23:36:01
898,2015-06-07 00:36:01
904,2015-06-07 01:36:01
910,2015-06-07 02:36:01
916,2015-06-07 03:36:01
922,2015-06-07 04:36:01
928,2015-06-07 05:36:01
934,2015-06-07 06:36:01
940,2015-06-07 07:36:01
946,2015-06-07 08:36:01
952,2015-06-07 09:36:01
958,2015-06-07 10:36:01
964,2015-06-07 11:36:01
970,2015-06-07 12:36:01
976,2015-06-07 13:36:01
982,2015-06-07 14:36:01
988,2015-06-07 15:36:01
994,2015-06-07 16:36:01
1000,2015-06-07 17:36:01
1006,2015-06-07 18:36:01
1012,2015-06-07 19:36:01
1018,2015-06-07 20:36:01
1024,2015-06-07 21:36:01
1030,2015-06-07 22:36:01
1036,2015-06-07 23:36:01
1042,2015-06-08 00:36:01
1048,2015-06-08 01:36:01
1054,2015-06-08 02:36:01
1060,2015-06-08 03:36:01
1066,2015-06-08 04:36:01
1072,2015-06-08 05:36:01
1078,2015-06-08 06:36:01
1084,2015-06-08 07:36:01
1090,2015-06-08 08:36:01
1096,2015-06-08 09:36:01
1102,2015-06-08 10:36:01
1108,2015-06-08 11:36:01
1114,2015-06-08 12:36:01
1120,2015-06-08 13:36:01
1126,2015-06-08 14:36:01
1132,2015-06-08 15:36:01
1138,2015-06-08 16:36:01
1144,2015-06-08 17:36:01
1150,2015-06-08 18:36:01
1156,2015-06-08 19:36:01
1162,2015-06-08 20:36:01
1168,2015-06-08 21:36:01
1174,2015-06-08 22:36:01
1180,2015-06-08 23:36:01
1186,2015-06-09 00:36:01
1192,2015-06-09 01:36:01
1198,2015-06-09 02:36:01
1204,2015-06-09 03:36:01
1210,2015-06-09 04:36:01
1216,2015-06-09 05:36:01
1222,2015-06-09 06:36:01
1228,2015-06-09 07:36:01
1234,2015-06-09 08:36:01
1240,2015-06-09 09:36:01
1246,2015-06-09 10:36:01
1252,2015-06-09 11:36:01
1258,2015-06-09 12:36:01
1264,2015-06-09 13:36:01
1270,2015-06-09 14:36:01
1276,2015-06-09 15:36:01
1282,2015-06-09 16:36:01
1288,2015-06-09 17:36:01
1294,2015-06-09 18:36:01
1300,2015-06-09 19:36:01
1306,2015-06-09 20:36:01
1312,2015-06-09 21:36:01
1318,2015-06-09 22:36:01
1324,2015-06-09 23:36:01
1330,2015-06-10 00:36:01
1336,2015-06-10 01:36:01
1342,2015-06-10 02:36:01
1348,2015-06-10 03:36:01
1354,2015-06-10 04:36:01
1360,2015-06-10 05:36:01
1366,2015-06-10 06:36:01
1372,2015-06-10 07:36:01
1378,2015-06-10 08:36:01
1384,2015-06-10 09:36:01
1390,2015-06-10 10:36:01
1396,2015-06-10 11:36:01
1402,2015-06-10 12:36:01
1408,2015-06-10 13:36:01
1414,2015-06-10 14:36:01
1420,2015-06-10 15:36:01
1426,2015-06-10 16:36:01
1432,2015-06-10 17:36:01
1438,2015-06-10 18:36:01
1444,2015-06-10 19:36:01
1450,2015-06-10 20:36:01
1456,2015-06-10 21:36:01
1462,2015-06-10 22:36:01
1468,2015-06-10 23:36:01
1474,2015-06-11 00:36:01
1480,2015-06-11 01:36:01
1486,2015-06-11 02:36:01
1492,2015-06-11 03:36:01
1498,2015-06-11 04:36:01
1504,2015-06-11 05:36:01
1510,2015-06-11 06:36:01
1516,2015-06-11 07:36:01
1522,2015-06-11 08:36:01
1528,2015-06-11 09:36:01
1534,2015-06-11 10:36:01
1540,2015-06-11 11:36:01
1546,2015-06-11 12:36:01
1552,2015-06-11 13:36:01
1558,2015-06-11 14:36:01
1564,2015-06-11 15:36:01
1570,2015-06-11 16:36:01
1576,2015-06-11 17:36:01
1582,2015-06-11 18:36:01
1588,2015-06-11 19:36:01
1594,2015-06-11 20:36:01
1600,2015-06-11 21:36:01
1606,2015-06-11 22:36:01
1612,2015-06-11 23:36:01
1618,2015-06-12 00:36:01
1624,2015-06-12 01:36:01
1630,2015-06-12 02:36:01
1636,2015-06-12 03:36:01
1642,2015-06-12 04:36:01
1648,2015-06-12 05:36:01
1654,2015-06-12 06:36:01
1660,2015-06-12 07:36:01
1666,2015-06-12 08:36:01
1672,2015-06-12 09:36:01
1678,2015-06-12 10:36:01
1684,2015-06-12 11:36:01
1690,2015-06-12 12:36:01
1696,2015-06-12 13:36:01
1702,2015-06-12 14:36:01
1708,2015-06-12 15:36:01
1714,2015-06-12 16:36:01
1720,2015-06-12 17:36:01
1726,2015-06-12 18:36:01
1732,2015-06-12 19:36:01
1738,2015-06-12 20:36:01
1744,2015-06-12 21:36:01
1750,2015-06-12 22:36:01
1756,2015-06-12 23:36:01
1762,2015-06-13 00:36:01
1768,2015-06-13 01:36:01
1774,2015-06-13 02:36:01
1780,2015-06-13 03:36:01
1786,2015-06-13 04:36:01
1792,2015-06-13 05:36:01
1798,2015-06-13 06:36:01
1804,2015-06-13 07:36:01
1810,2015-06-13 08:36:01
1816,2015-06-13 09:36:01
1822,2015-06-13 10:36:01
1828,2015-06-13 11:36:01
1834,2015-06-13 12:36:01
1840,2015-06-13 13:36:01
1846,2015-06-13 14:36:01
1852,2015-06-13 15:36:01
1858,2015-06-13 16:36:01
1864,2015-06-13 17:36:01
1870,2015-06-13 18:36:01
1876,2015-06-13 19:36:01
1882,2015-06-13 20:36:01
1888,2015-06-13 21:36:01
1894,2015-06-13 22:36:01
