window_start,window_time
400,2020-10-15 07:11:00
406,2020-10-15 08:11:00
412,2020-10-15 09:11:00
418,2020-10-15 10:11:00
424,2020-10-15 11:11:00
430,2020-10-15 12:11:00
436,2020-10-15 13:11:00
442,2020-10-15 14:11:00
448,2020-10-15 15:11:00
454,2020-10-15 16:11:00
460,2020-10-15 17:11:00
466,2020-10-15 18:11:00
472,2020-10-15 19:11:00
478,2020-10-15 20:11:00
484,2020-10-15 21:11:00
490,2020-10-15 22:11:00
496,2020-10-15 23:11:00
502,2020-10-16 00:11:00
508,2020-10-16 01:11:00
514,2020-10-16 02:11:00
520,2020-10-16 03:11:00
526,2020-10-16 04:11:00
532,2020-10-16 05:11:00
538,2020-10-16 06:11:00
544,2020-10-16 07:11:00
550,2020-10-16 08:11:00
556,2020-10-16 09:11:00
562,2020-10-16 10:11:00
568,2020-10-16 11:11:00
574,2020-10-16 12:11:00
580,2020-10-16 13:11:00
586,2020-10-16 14:11:00
592,2020-10-16 15:11:00
598,2020-10-16 16:11:00
604,2020-10-16 17:11:00
610,2020-10-16 18:11:00
616,2020-10-16 19:11:00
622,2020-10-16 20:11:00
628,2020-10-16 21:11:00
634,2020-10-16 22:11:00
640,2020-10-16 23:11:00
646,2020-10-17 00:11:00
652,2020-10-17 01:11:00
658,2020-10-17 02:11:00
664,2020-10-17 03:11:00
670,2020-10-17 04:11:00
676,2020-10-17 05:11:00
682,2020-10-17 06:11:00
688,2020-10-17 07:11:00
694,2020-10-17 08:11:00
700,2020-10-17 09:11:00
706,2020-10-17 10:11:00
712,2020-10-17 11:11:00
718,2020-10-17 12:11:00
724,2020-10-17 13:11:00
730,2020-10-17 14:11:00
736,2020-10-17 15:11:00
742,2020-10-17 16:11:00
748,2020-10-17 17:11:00
754,2020-10-17 18:11:00
760,2020-10-17 19:11:00
766,2020-10-17 20:11:00
772,2020-10-17 21:11:00
778,2020-10-17 22:11:00
784,2020-10-17 23:11:00
790,2020-10-18 00:11:00
796,2020-10-18 01:11:00
802,2020-10-18 02:11:00
808,2020-10-18 03:11:00
814,2020-10-18 04:11:00
820,2020-10-18 05:11:00
826,2020-10-18 06:11:00
832,2020-10-18 07:11:00
838,2020-10-18 08:11:00
844,2020-10-18 09:11:00
850,2020-10-18 10:11:00
856,2020-10-18 11:11:00
862,2020-10-18 12:11:00
868,2020-10-18 13:11:00
874,2020-10-18 14:11:00
880,2020-10-18 15:11:00
886,2020-10-18 16:11:00
892,2020-10-18 17:11:00
898,2020-10-18 18:11:00
904,2020-10-18 19:11:00
910,2020-10-18 20:11:00
916,2020-10-18 21:11:00
922,2020-10-18 22:11:00
928,2020-10-18 23:11:00
934,2020-10-19 00:11:00
940,2020-10-19 01:11:00
946,2020-10-19 02:11:00
952,2020-10-19 03:11:00
958,2020-10-19 04:11:00
964,2020-10-19 05:11:00
970,2020-10-19 06:11:00
976,2020-10-19 07:11:00
982,2020-10-19 08:11:00
988,2020-10-19 09:11:00
994,2020-10-19 10:11:00
1000,2020-10-19 11:11:00
1006,2020-10-19 12:11:00
1012,2020-10-19 13:11:00
1018,2020-10-19 14:11:00
1024,2020-10-19 15:11:00
