rule,tmax,window_days,alpha,base,slope,high,low_all,sum,gap,good_area,fallback_total,n_orders_selected
continuation_3,45,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,0.8695652173913047,4,27.391304347826086,10
continuation_2,45,15,0.01,0.75,0.003,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,5,8.695652173913043,6
continuation_2,60,25,0.02,0.65,0.0045,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,2,0.0,4
continuation_2,60,15,0.15,0.15,0.009,40.0,39.130434782608695,79.13043478260869,0.8695652173913047,0,0.0,4
