slope,0.05,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0,30.0,50.0,50.0,50.0,30.0
0.00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,30.0,40.0,50.0,50.0,50.0,10.0
0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,50.0,40.0,50.0,50.0,50.0,20.0,0.0
0.00225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,10.0,20.0,60.0,40.0,50.0,50.0,50.0,50.0,10.0,0.0
0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,10.0,30.0,60.0,40.0,40.0,50.0,60.0,50.0,20.0,0.0,0.0
0.00375,0.0,0.0,0.0,0.0,0.0,10.0,20.0,10.0,20.0,50.0,50.0,40.0,50.0,60.0,50.0,40.0,10.0,0.0,0.0
0.0045,0.0,0.0,0.0,0.0,20.0,20.0,10.0,20.0,50.0,50.0,40.0,40.0,60.0,50.0,50.0,30.0,0.0,0.0,0.0
0.00525,0.0,0.0,10.0,20.0,20.0,10.0,20.0,40.0,50.0,40.0,40.0,60.0,50.0,50.0,40.0,10.0,0.0,0.0,0.0
0.006,0.0,10.0,20.0,20.0,10.0,30.0,40.0,50.0,50.0,40.0,50.0,50.0,50.0,40.0,30.0,10.0,0.0,0.0,0.0
0.00675,10.0,20.0,20.0,10.0,30.0,40.0,40.0,50.0,40.0,50.0,50.0,40.0,50.0,40.0,10.0,0.0,0.0,0.0,0.0
0.0075,20.0,20.0,10.0,30.0,40.0,30.0,50.0,40.0,50.0,50.0,40.0,50.0,40.0,30.0,10.0,0.0,0.0,0.0,0.0
0.00825,10.0,10.0,30.0,40.0,30.0,50.0,40.0,50.0,40.0,40.0,50.0,40.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0
0.009,10.0,30.0,40.0,30.0,40.0,40.0,50.0,40.0,40.0,50.0,50.0,40.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0
0.00975,30.0,40.0,40.0,30.0,40.0,50.0,40.0,30.0,40.0,50.0,40.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0105,40.0,40.0,30.0,40.0,50.0,40.0,30.0,40.0,50.0,40.0,40.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01125,40.0,30.0,50.0,50.0,40.0,30.0,30.0,50.0,50.0,40.0,30.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,30.0,50.0,50.0,40.0,30.0,30.0,40.0,50.0,40.0,40.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01275,40.0,40.0,40.0,30.0,30.0,40.0,50.0,40.0,40.0,30.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0135,40.0,40.0,40.0,30.0,30.0,50.0,40.0,40.0,40.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01425,30.0,40.0,30.0,30.0,40.0,50.0,40.0,40.0,30.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,40.0,30.0,30.0,40.0,50.0,40.0,40.0,40.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
