label,rule,tmax,window_days,alpha,shared_base_threshold,shared_slope,shared_high_success_pct,shared_low_all_success_pct,shared_combined_success_pct,shared_min_success_pct,shared_gap_pct,n_cells_total,n_cells_at_max_min,pct_cells_at_max_min,n_cells_at_max_sum,n_cells_sum_ge_130,pct_cells_sum_ge_130,n_cells_sum_ge_120,pct_cells_sum_ge_120,n_cells_both_ge_60,pct_cells_both_ge_60,n_cells_min_ge_50,pct_cells_min_ge_50,high_individual_best_pct,high_individual_best_base,high_individual_best_slope,low_all_individual_best_pct,low_all_individual_best_base,low_all_individual_best_slope,high_fallback_rate_pct,low_all_fallback_rate_pct,high_median_transient,low_all_median_transient,n_cells_sum_ge_100,pct_cells_sum_ge_100,n_cells_sum_ge_105,pct_cells_sum_ge_105,n_cells_sum_ge_110,pct_cells_sum_ge_110,n_cells_sum_ge_115,pct_cells_sum_ge_115,n_cells_within_5_of_max_sum,pct_cells_within_5_of_max_sum,n_cells_within_10_of_max_sum,pct_cells_within_10_of_max_sum,n_cells_both_ge_50,n_cells_both_ge_55,n_cells_sum_ge_110_gap_le_10,n_cells_sum_ge_110_min_ge_50
global_good_area,baseline_5day,30,15,0.15,0.15,0.00675,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781,399,3,0.7518796992481203,3,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.2,0.00225,43.47826086956522,0.2,0.006,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,9,2.2556390977443606,0,0,0,0
global_good_area,baseline_5day,30,15,0.2,0.05,0.00675,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.35,0.0,43.47826086956522,0.05,0.00675,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.7543859649122806,11,2.756892230576441,0,0,0,0
global_good_area,baseline_5day,30,20,0.01,0.7,0.003,40.0,47.82608695652174,87.82608695652175,40.0,7.826086956521742,399,6,1.5037593984962405,3,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.8,0.0,56.52173913043478,0.7,0.00375,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.7543859649122806,20,5.012531328320802,0,0,0,0
global_good_area,baseline_5day,30,20,0.02,0.55,0.00375,60.0,30.434782608695652,90.43478260869566,30.434782608695652,29.565217391304348,399,6,1.5037593984962405,2,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.65,0.0015,52.17391304347826,0.75,0.003,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0025062656641603,21,5.263157894736842,0,0,0,0
global_good_area,baseline_5day,30,20,0.05,0.55,0.003,60.0,34.78260869565217,94.78260869565217,34.78260869565217,25.217391304347828,399,9,2.2556390977443606,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.65,0.0015,47.82608695652174,0.75,0.0015,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7518796992481203,6,1.5037593984962405,0,0,0,0
global_good_area,baseline_5day,30,20,0.1,0.25,0.006,60.0,34.78260869565217,94.78260869565217,34.78260869565217,25.217391304347828,399,3,0.7518796992481203,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.55,0.0015,39.130434782608695,0.25,0.009,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,7,1.7543859649122806,0,0,0,0
global_good_area,baseline_5day,30,20,0.15,0.4,0.003,60.0,26.08695652173913,86.08695652173913,26.08695652173913,33.913043478260875,399,1,0.2506265664160401,3,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.4,0.003,39.130434782608695,0.1,0.00675,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,18,4.511278195488721,0,0,0,0
global_good_area,baseline_5day,30,20,0.2,0.05,0.00675,60.0,43.47826086956522,103.47826086956522,43.47826086956522,16.52173913043478,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.2,0.00225,43.47826086956522,0.05,0.00675,40.0,69.56521739130434,21.5,30.0,1,0.2506265664160401,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,3,0.7518796992481203,0,0,0,0
global_good_area,baseline_5day,30,25,0.01,0.4,0.00825,60.0,47.82608695652174,107.82608695652175,47.82608695652174,12.173913043478258,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,60.0,0.7,0.00225,56.52173913043478,0.7,0.00375,40.0,69.56521739130434,21.5,30.0,4,1.0025062656641603,1,0.2506265664160401,0,0.0,0,0.0,3,0.7518796992481203,10,2.506265664160401,1,0,0,0
global_good_area,baseline_5day,30,25,0.02,0.4,0.0075,50.0,39.130434782608695,89.13043478260869,39.130434782608695,10.869565217391305,399,4,1.0025062656641603,5,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.8,0.0,47.82608695652174,0.75,0.00225,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,11,2.756892230576441,21,5.263157894736842,0,0,0,0
