window_start,window_time
400,2015-06-02 06:36:00
406,2015-06-02 07:36:00
412,2015-06-02 08:36:00
418,2015-06-02 09:36:00
424,2015-06-02 10:36:00
430,2015-06-02 11:36:00
436,2015-06-02 12:36:00
442,2015-06-02 13:36:00
448,2015-06-02 14:36:00
454,2015-06-02 15:36:00
460,2015-06-02 16:36:00
466,2015-06-02 17:36:00
472,2015-06-02 18:36:00
478,2015-06-02 19:36:00
484,2015-06-02 20:36:00
490,2015-06-02 21:36:00
496,2015-06-02 22:36:00
502,2015-06-02 23:36:00
508,2015-06-03 00:36:00
514,2015-06-03 01:36:00
520,2015-06-03 02:36:00
526,2015-06-03 03:36:00
532,2015-06-03 04:36:00
538,2015-06-03 05:36:00
544,2015-06-03 06:36:00
550,2015-06-03 07:36:00
556,2015-06-03 08:36:00
562,2015-06-03 09:36:00
568,2015-06-03 10:36:00
574,2015-06-03 11:36:00
580,2015-06-03 12:36:00
586,2015-06-03 13:36:00
592,2015-06-03 14:36:00
598,2015-06-03 15:36:00
604,2015-06-03 16:36:00
610,2015-06-03 17:36:00
616,2015-06-03 18:36:00
622,2015-06-03 19:36:00
628,2015-06-03 20:36:00
634,2015-06-03 21:36:00
640,2015-06-03 22:36:00
646,2015-06-03 23:36:00
652,2015-06-04 00:36:00
658,2015-06-04 01:36:00
664,2015-06-04 02:36:00
670,2015-06-04 03:36:00
676,2015-06-04 04:36:00
682,2015-06-04 05:36:00
688,2015-06-04 06:36:00
694,2015-06-04 07:36:00
700,2015-06-04 08:36:00
706,2015-06-04 09:36:00
712,2015-06-04 10:36:00
718,2015-06-04 11:36:00
724,2015-06-04 12:36:00
730,2015-06-04 13:36:00
736,2015-06-04 14:36:00
742,2015-06-04 15:36:00
748,2015-06-04 16:36:00
754,2015-06-04 17:36:00
760,2015-06-04 18:36:00
766,2015-06-04 19:36:00
772,2015-06-04 20:36:00
778,2015-06-04 21:36:00
784,2015-06-04 22:36:00
790,2015-06-04 23:36:00
796,2015-06-05 00:36:00
802,2015-06-05 01:36:00
808,2015-06-05 02:36:00
814,2015-06-05 03:36:00
820,2015-06-05 04:36:00
826,2015-06-05 05:36:00
832,2015-06-05 06:36:00
838,2015-06-05 07:36:00
844,2015-06-05 08:36:00
850,2015-06-05 09:36:00
856,2015-06-05 10:36:00
862,2015-06-05 11:36:00
868,2015-06-05 12:36:00
874,2015-06-05 13:36:00
880,2015-06-05 14:36:00
886,2015-06-05 15:36:00
892,2015-06-05 16:36:00
898,2015-06-05 17:36:00
904,2015-06-05 18:36:00
910,2015-06-05 19:36:00
916,2015-06-05 20:36:00
922,2015-06-05 21:36:00
928,2015-06-05 22:36:00
934,2015-06-05 23:36:00
940,2015-06-06 00:36:00
946,2015-06-06 01:36:00
952,2015-06-06 02:36:00
958,2015-06-06 03:36:00
964,2015-06-06 04:36:00
970,2015-06-06 05:36:00
976,2015-06-06 06:36:00
982,2015-06-06 07:36:00
988,2015-06-06 08:36:00
994,2015-06-06 09:36:00
1000,2015-06-06 10:36:00
1006,2015-06-06 11:36:00
1012,2015-06-06 12:36:00
1018,2015-06-06 13:36:00
1024,2015-06-06 14:36:00
1030,2015-06-06 15:36:00
1036,2015-06-06 16:36:00
1042,2015-06-06 17:36:00
1048,2015-06-06 18:36:00
1054,2015-06-06 19:36:00
1060,2015-06-06 20:36:00
1066,2015-06-06 21:36:00
1072,2015-06-06 22:36:00
1078,2015-06-06 23:36:00
1084,2015-06-07 00:36:00
1090,2015-06-07 01:36:00
1096,2015-06-07 02:36:00
1102,2015-06-07 03:36:00
1108,2015-06-07 04:36:00
1114,2015-06-07 05:36:00
1120,2015-06-07 06:36:00
1126,2015-06-07 07:36:00
1132,2015-06-07 08:36:00
1138,2015-06-07 09:36:00
1144,2015-06-07 10:36:00
1150,2015-06-07 11:36:00
1156,2015-06-07 12:36:00
1162,2015-06-07 13:36:00
1168,2015-06-07 14:36:00
1174,2015-06-07 15:36:00
1180,2015-06-07 16:36:00
1186,2015-06-07 17:36:00
1192,2015-06-07 18:36:00
1198,2015-06-07 19:36:00
1204,2015-06-07 20:36:00
1210,2015-06-07 21:36:00
1216,2015-06-07 22:36:00
1222,2015-06-07 23:36:00
1228,2015-06-08 00:36:00
1234,2015-06-08 01:36:00
1240,2015-06-08 02:36:00
1246,2015-06-08 03:36:00
1252,2015-06-08 04:36:00
1258,2015-06-08 05:36:00
1264,2015-06-08 06:36:00
1270,2015-06-08 07:36:00
1276,2015-06-08 08:36:00
1282,2015-06-08 09:36:00
1288,2015-06-08 10:36:00
1294,2015-06-08 11:36:00
1300,2015-06-08 12:36:00
1306,2015-06-08 13:36:00
1312,2015-06-08 14:36:00
1318,2015-06-08 15:36:00
1324,2015-06-08 16:36:00
1330,2015-06-08 17:36:00
1336,2015-06-08 18:36:00
1342,2015-06-08 19:36:00
1348,2015-06-08 20:36:00
1354,2015-06-08 21:36:00
1360,2015-06-08 22:36:00
1366,2015-06-08 23:36:00
1372,2015-06-09 00:36:00
1378,2015-06-09 01:36:00
1384,2015-06-09 02:36:00
1390,2015-06-09 03:36:00
1396,2015-06-09 04:36:00
1402,2015-06-09 05:36:00
1408,2015-06-09 06:36:00
1414,2015-06-09 07:36:00
1420,2015-06-09 08:36:00
1426,2015-06-09 09:36:00
1432,2015-06-09 10:36:00
1438,2015-06-09 11:36:00
1444,2015-06-09 12:36:00
1450,2015-06-09 13:36:00
1456,2015-06-09 14:36:00
1462,2015-06-09 15:36:00
1468,2015-06-09 16:36:00
1474,2015-06-09 17:36:00
1480,2015-06-09 18:36:00
1486,2015-06-09 19:36:00
1492,2015-06-09 20:36:00
1498,2015-06-09 21:36:00
1504,2015-06-09 22:36:00
1510,2015-06-09 23:36:00
1516,2015-06-10 00:36:00
1522,2015-06-10 01:36:00
1528,2015-06-10 02:36:00
1534,2015-06-10 03:36:00
1540,2015-06-10 04:36:00
1546,2015-06-10 05:36:00
1552,2015-06-10 06:36:00
1558,2015-06-10 07:36:00
1564,2015-06-10 08:36:00
1570,2015-06-10 09:36:00
1576,2015-06-10 10:36:00
1582,2015-06-10 11:36:00
1588,2015-06-10 12:36:00
1594,2015-06-10 13:36:00
1600,2015-06-10 14:36:00
1606,2015-06-10 15:36:00
1612,2015-06-10 16:36:00
1618,2015-06-10 17:36:00
1624,2015-06-10 18:36:00
1630,2015-06-10 19:36:00
1636,2015-06-10 20:36:00
1642,2015-06-10 21:36:00
1648,2015-06-10 22:36:00
1654,2015-06-10 23:36:00
1660,2015-06-11 00:36:00
1666,2015-06-11 01:36:00
1672,2015-06-11 02:36:00
1678,2015-06-11 03:36:00
1684,2015-06-11 04:36:00
1690,2015-06-11 05:36:00
1696,2015-06-11 06:36:00
1702,2015-06-11 07:36:00
1708,2015-06-11 08:36:00
1714,2015-06-11 09:36:00
1720,2015-06-11 10:36:00
1726,2015-06-11 11:36:00
1732,2015-06-11 12:36:00
1738,2015-06-11 13:36:00
1744,2015-06-11 14:36:00
1750,2015-06-11 15:36:00
1756,2015-06-11 16:36:00
1762,2015-06-11 17:36:00
1768,2015-06-11 18:36:00
1774,2015-06-11 19:36:00
1780,2015-06-11 20:36:00
1786,2015-06-11 21:36:00
1792,2015-06-11 22:36:00
1798,2015-06-11 23:36:00
1804,2015-06-12 00:36:00
1810,2015-06-12 01:36:00
1816,2015-06-12 02:36:00
1822,2015-06-12 03:36:00
1828,2015-06-12 04:36:00
1834,2015-06-12 05:36:00
1840,2015-06-12 06:36:00
1846,2015-06-12 07:36:00
1852,2015-06-12 08:36:00
1858,2015-06-12 09:36:00
1864,2015-06-12 10:36:00
1870,2015-06-12 11:36:00
1876,2015-06-12 12:36:00
1882,2015-06-12 13:36:00
1888,2015-06-12 14:36:00
1894,2015-06-12 15:36:00
1900,2015-06-12 16:36:00
1906,2015-06-12 17:36:00
1912,2015-06-12 18:36:00
1918,2015-06-12 19:36:00
1924,2015-06-12 20:36:00
1930,2015-06-12 21:36:00
1936,2015-06-12 22:36:00
1942,2015-06-12 23:36:00
1948,2015-06-13 00:36:00
1954,2015-06-13 01:36:00
1960,2015-06-13 02:36:00
1966,2015-06-13 03:36:00
1972,2015-06-13 04:36:00
1978,2015-06-13 05:36:00
1984,2015-06-13 06:36:00
1990,2015-06-13 07:36:00
1996,2015-06-13 08:36:00
2002,2015-06-13 09:36:00
2008,2015-06-13 10:36:00
2014,2015-06-13 11:36:00
2020,2015-06-13 12:36:00
2026,2015-06-13 13:36:00
2032,2015-06-13 14:36:00
2038,2015-06-13 15:36:00
2044,2015-06-13 16:36:00
2050,2015-06-13 17:36:00
2056,2015-06-13 18:36:00
2062,2015-06-13 19:36:00
2068,2015-06-13 20:36:00
2074,2015-06-13 21:36:00
2080,2015-06-13 22:36:00
2086,2015-06-13 23:36:00
2092,2015-06-14 00:36:00
2098,2015-06-14 01:36:00
2104,2015-06-14 02:36:00
2110,2015-06-14 03:36:00
2116,2015-06-14 04:36:00
2122,2015-06-14 05:36:00
2128,2015-06-14 06:36:00
2134,2015-06-14 07:36:00
2140,2015-06-14 08:36:00
2146,2015-06-14 09:36:00
2152,2015-06-14 10:36:00
2158,2015-06-14 11:36:00
2164,2015-06-14 12:36:00
2170,2015-06-14 13:36:00
2176,2015-06-14 14:36:00
2182,2015-06-14 15:36:00
2188,2015-06-14 16:36:00
2194,2015-06-14 17:36:00
2200,2015-06-14 18:36:00
2206,2015-06-14 19:36:00
2212,2015-06-14 20:36:00
2218,2015-06-14 21:36:00
2224,2015-06-14 22:36:00
2230,2015-06-14 23:36:00
2236,2015-06-15 00:36:00
2242,2015-06-15 01:36:00
2248,2015-06-15 02:36:00
2254,2015-06-15 03:36:00
2260,2015-06-15 04:36:00
2266,2015-06-15 05:36:00
2272,2015-06-15 06:36:00
2278,2015-06-15 07:36:00
2284,2015-06-15 08:36:00
2290,2015-06-15 09:36:00
2296,2015-06-15 10:36:00
2302,2015-06-15 11:36:00
2308,2015-06-15 12:36:00
2314,2015-06-15 13:36:00
2320,2015-06-15 14:36:00
2326,2015-06-15 15:36:00
2332,2015-06-15 16:36:00
2338,2015-06-15 17:36:00
2344,2015-06-15 18:36:00
2350,2015-06-15 19:36:00
2356,2015-06-15 20:36:00
2362,2015-06-15 21:36:00
2368,2015-06-15 22:36:00
2374,2015-06-15 23:36:00
2380,2015-06-16 00:36:00
2386,2015-06-16 01:36:00
2392,2015-06-16 02:36:00
2398,2015-06-16 03:36:00
2404,2015-06-16 04:36:00
2410,2015-06-16 05:36:00
2416,2015-06-16 06:36:00
2422,2015-06-16 07:36:00
2428,2015-06-16 08:36:00
2434,2015-06-16 09:36:00
2440,2015-06-16 10:36:00
2446,2015-06-16 11:36:00
2452,2015-06-16 12:36:00
2458,2015-06-16 13:36:00
2464,2015-06-16 14:36:00
2470,2015-06-16 15:36:00
2476,2015-06-16 16:36:00
2482,2015-06-16 17:36:00
2488,2015-06-16 18:36:00
2494,2015-06-16 19:36:00
2500,2015-06-16 20:36:00
2506,2015-06-16 21:36:00
2512,2015-06-16 22:36:00
2518,2015-06-16 23:36:00
2524,2015-06-17 00:36:00
2530,2015-06-17 01:36:00
2536,2015-06-17 02:36:00
2542,2015-06-17 03:36:00
2548,2015-06-17 04:36:00
2554,2015-06-17 05:36:00
