window_start,window_time
400,2020-06-25 04:38:00
406,2020-06-25 05:38:00
412,2020-06-25 06:38:00
418,2020-06-25 07:38:00
424,2020-06-25 08:38:00
430,2020-06-25 09:38:00
436,2020-06-25 10:38:00
442,2020-06-25 11:38:00
448,2020-06-25 12:38:00
454,2020-06-25 13:38:00
460,2020-06-25 14:38:00
466,2020-06-25 15:38:00
472,2020-06-25 16:38:00
478,2020-06-25 17:38:00
484,2020-06-25 18:38:00
490,2020-06-25 19:38:00
496,2020-06-25 20:38:00
502,2020-06-25 21:38:00
508,2020-06-25 22:38:00
514,2020-06-25 23:38:00
520,2020-06-26 00:38:00
526,2020-06-26 01:38:00
532,2020-06-26 02:38:00
538,2020-06-26 03:38:00
544,2020-06-26 04:38:00
550,2020-06-26 05:38:00
556,2020-06-26 06:38:00
562,2020-06-26 07:38:00
568,2020-06-26 08:38:00
574,2020-06-26 09:38:00
580,2020-06-26 10:38:00
586,2020-06-26 11:38:00
592,2020-06-26 12:38:00
598,2020-06-26 13:38:00
604,2020-06-26 14:38:00
610,2020-06-26 15:38:00
616,2020-06-26 16:38:00
622,2020-06-26 17:38:00
628,2020-06-26 18:38:00
634,2020-06-26 19:38:00
640,2020-06-26 20:38:00
646,2020-06-26 21:38:00
652,2020-06-26 22:38:00
658,2020-06-26 23:38:00
664,2020-06-27 00:38:00
670,2020-06-27 01:38:00
676,2020-06-27 02:38:00
682,2020-06-27 03:38:00
688,2020-06-27 04:38:00
694,2020-06-27 05:38:00
700,2020-06-27 06:38:00
706,2020-06-27 07:38:00
712,2020-06-27 08:38:00
718,2020-06-27 09:38:00
724,2020-06-27 10:38:00
730,2020-06-27 11:38:00
736,2020-06-27 12:38:00
742,2020-06-27 13:38:00
748,2020-06-27 14:38:00
754,2020-06-27 15:38:00
760,2020-06-27 16:38:00
766,2020-06-27 17:38:00
772,2020-06-27 18:38:00
778,2020-06-27 19:38:00
784,2020-06-27 20:38:00
790,2020-06-27 21:38:00
796,2020-06-27 22:38:00
802,2020-06-27 23:38:00
808,2020-06-28 00:38:00
814,2020-06-28 01:38:00
820,2020-06-28 02:38:00
826,2020-06-28 03:38:00
832,2020-06-28 04:38:00
838,2020-06-28 05:38:00
844,2020-06-28 06:38:00
850,2020-06-28 07:38:00
856,2020-06-28 08:38:00
862,2020-06-28 09:38:00
868,2020-06-28 10:38:00
874,2020-06-28 11:38:00
880,2020-06-28 12:38:00
886,2020-06-28 13:38:00
892,2020-06-28 14:38:00
898,2020-06-28 15:38:00
904,2020-06-28 16:38:00
910,2020-06-28 17:38:00
916,2020-06-28 18:38:00
922,2020-06-28 19:38:00
928,2020-06-28 20:38:00
934,2020-06-28 21:38:00
940,2020-06-28 22:38:00
946,2020-06-28 23:38:00
952,2020-06-29 00:38:00
958,2020-06-29 01:38:00
964,2020-06-29 02:38:00
970,2020-06-29 03:38:00
976,2020-06-29 04:38:00
982,2020-06-29 05:38:00
988,2020-06-29 06:38:00
994,2020-06-29 07:38:00
1000,2020-06-29 08:38:00
1006,2020-06-29 09:38:00
1012,2020-06-29 10:38:00
1018,2020-06-29 11:38:00
1024,2020-06-29 12:38:00
1030,2020-06-29 13:38:00
1036,2020-06-29 14:38:00
1042,2020-06-29 15:38:00
1048,2020-06-29 16:38:00
1054,2020-06-29 17:38:00
1060,2020-06-29 18:38:00
1066,2020-06-29 19:38:00
1072,2020-06-29 20:38:00
1078,2020-06-29 21:38:00
1084,2020-06-29 22:38:00
1090,2020-06-29 23:38:00
1096,2020-06-30 00:38:00
1102,2020-06-30 01:38:00
1108,2020-06-30 02:38:00
1114,2020-06-30 03:38:00
1120,2020-06-30 04:38:00
1126,2020-06-30 05:38:00
1132,2020-06-30 06:38:00
1138,2020-06-30 07:38:00
1144,2020-06-30 08:38:00
1150,2020-06-30 09:38:00
1156,2020-06-30 10:38:00
1162,2020-06-30 11:38:00
1168,2020-06-30 12:38:00
1174,2020-06-30 13:38:00
1180,2020-06-30 14:38:00
1186,2020-06-30 15:38:00
1192,2020-06-30 16:38:00
1198,2020-06-30 17:38:00
1204,2020-06-30 18:38:00
1210,2020-06-30 19:38:00
1216,2020-06-30 20:38:00
1222,2020-06-30 21:38:00
1228,2020-06-30 22:38:00
1234,2020-06-30 23:38:00
1240,2020-07-01 00:38:00
1246,2020-07-01 01:38:00
1252,2020-07-01 02:38:00
1258,2020-07-01 03:38:00
1264,2020-07-01 04:38:00
1270,2020-07-01 05:38:00
1276,2020-07-01 06:38:00
1282,2020-07-01 07:38:00
1288,2020-07-01 08:38:00
1294,2020-07-01 09:38:00
1300,2020-07-01 10:38:00
1306,2020-07-01 11:38:00
1312,2020-07-01 12:38:00
1318,2020-07-01 13:38:00
1324,2020-07-01 14:38:00
