window_start,window_time
400,2020-08-01 09:07:00
406,2020-08-01 10:07:00
412,2020-08-01 11:07:00
418,2020-08-01 12:07:00
424,2020-08-01 13:07:00
430,2020-08-01 14:07:00
436,2020-08-01 15:07:00
442,2020-08-01 16:07:00
448,2020-08-01 17:07:00
454,2020-08-01 18:07:00
460,2020-08-01 19:07:00
466,2020-08-01 20:07:00
472,2020-08-01 21:07:00
478,2020-08-01 22:07:00
484,2020-08-01 23:07:00
490,2020-08-02 00:07:00
496,2020-08-02 01:07:00
502,2020-08-02 02:07:00
508,2020-08-02 03:07:00
514,2020-08-02 04:07:00
520,2020-08-02 05:07:00
526,2020-08-02 06:07:00
532,2020-08-02 07:07:00
538,2020-08-02 08:07:00
544,2020-08-02 09:07:00
550,2020-08-02 10:07:00
556,2020-08-02 11:07:00
562,2020-08-02 12:07:00
568,2020-08-02 13:07:00
574,2020-08-02 14:07:00
580,2020-08-02 15:07:00
586,2020-08-02 16:07:00
592,2020-08-02 17:07:00
598,2020-08-02 18:07:00
604,2020-08-02 19:07:00
610,2020-08-02 20:07:00
616,2020-08-02 21:07:00
622,2020-08-02 22:07:00
628,2020-08-02 23:07:00
634,2020-08-03 00:07:00
640,2020-08-03 01:07:00
646,2020-08-03 02:07:00
652,2020-08-03 03:07:00
658,2020-08-03 04:07:00
664,2020-08-03 05:07:00
670,2020-08-03 06:07:00
676,2020-08-03 07:07:00
682,2020-08-03 08:07:00
688,2020-08-03 09:07:00
694,2020-08-03 10:07:00
700,2020-08-03 11:07:00
706,2020-08-03 12:07:00
712,2020-08-03 13:07:00
718,2020-08-03 14:07:00
724,2020-08-03 15:07:00
730,2020-08-03 16:07:00
736,2020-08-03 17:07:00
742,2020-08-03 18:07:00
748,2020-08-03 19:07:00
754,2020-08-03 20:07:00
760,2020-08-03 21:07:00
766,2020-08-03 22:07:00
772,2020-08-03 23:07:00
778,2020-08-04 00:07:00
784,2020-08-04 01:07:00
790,2020-08-04 02:07:00
796,2020-08-04 03:07:00
802,2020-08-04 04:07:00
808,2020-08-04 05:07:00
814,2020-08-04 06:07:00
820,2020-08-04 07:07:00
826,2020-08-04 08:07:00
832,2020-08-04 09:07:00
838,2020-08-04 10:07:00
844,2020-08-04 11:07:00
850,2020-08-04 12:07:00
856,2020-08-04 13:07:00
862,2020-08-04 14:07:00
868,2020-08-04 15:07:00
874,2020-08-04 16:07:00
880,2020-08-04 17:07:00
886,2020-08-04 18:07:00
892,2020-08-04 19:07:00
898,2020-08-04 20:07:00
904,2020-08-04 21:07:00
910,2020-08-04 22:07:00
916,2020-08-04 23:07:00
922,2020-08-05 00:07:00
928,2020-08-05 01:07:00
934,2020-08-05 02:07:00
940,2020-08-05 03:07:00
