window_start,window_time
400,2015-06-03 13:37:00
406,2015-06-03 14:37:00
412,2015-06-03 15:37:00
418,2015-06-03 16:37:00
424,2015-06-03 17:37:00
430,2015-06-03 18:37:00
436,2015-06-03 19:37:00
442,2015-06-03 20:37:00
448,2015-06-03 21:37:00
454,2015-06-03 22:37:00
460,2015-06-03 23:37:00
466,2015-06-04 00:37:00
472,2015-06-04 01:37:00
478,2015-06-04 02:37:00
484,2015-06-04 03:37:00
490,2015-06-04 04:37:00
496,2015-06-04 05:37:00
502,2015-06-04 06:37:00
508,2015-06-04 07:37:00
514,2015-06-04 08:37:00
520,2015-06-04 09:37:00
526,2015-06-04 10:37:00
532,2015-06-04 11:37:00
538,2015-06-04 12:37:00
544,2015-06-04 13:37:00
550,2015-06-04 14:37:00
556,2015-06-04 15:37:00
562,2015-06-04 16:37:00
568,2015-06-04 17:37:00
574,2015-06-04 18:37:00
580,2015-06-04 19:37:00
586,2015-06-04 20:37:00
592,2015-06-04 21:37:00
598,2015-06-04 22:37:00
604,2015-06-04 23:37:00
610,2015-06-05 00:37:00
616,2015-06-05 01:37:00
622,2015-06-05 02:37:00
628,2015-06-05 03:37:00
634,2015-06-05 04:37:00
640,2015-06-05 05:37:00
646,2015-06-05 06:37:00
652,2015-06-05 07:37:00
658,2015-06-05 08:37:00
664,2015-06-05 09:37:00
670,2015-06-05 10:37:00
676,2015-06-05 11:37:00
682,2015-06-05 12:37:00
688,2015-06-05 13:37:00
694,2015-06-05 14:37:00
700,2015-06-05 15:37:00
706,2015-06-05 16:37:00
712,2015-06-05 17:37:00
718,2015-06-05 18:37:00
724,2015-06-05 19:37:00
730,2015-06-05 20:37:00
736,2015-06-05 21:37:00
742,2015-06-05 22:37:00
748,2015-06-05 23:37:00
754,2015-06-06 00:37:00
760,2015-06-06 01:37:00
766,2015-06-06 02:37:00
772,2015-06-06 03:37:00
778,2015-06-06 04:37:00
784,2015-06-06 05:37:00
790,2015-06-06 06:37:00
796,2015-06-06 07:37:00
802,2015-06-06 08:37:00
808,2015-06-06 09:37:00
814,2015-06-06 10:37:00
820,2015-06-06 11:37:00
826,2015-06-06 12:37:00
832,2015-06-06 13:37:00
838,2015-06-06 14:37:00
844,2015-06-06 15:37:00
850,2015-06-06 16:37:00
856,2015-06-06 17:37:00
862,2015-06-06 18:37:00
868,2015-06-06 19:37:00
874,2015-06-06 20:37:00
880,2015-06-06 21:37:00
886,2015-06-06 22:37:00
892,2015-06-06 23:37:00
898,2015-06-07 00:37:00
904,2015-06-07 01:37:00
910,2015-06-07 02:37:00
916,2015-06-07 03:37:00
922,2015-06-07 04:37:00
928,2015-06-07 05:37:00
934,2015-06-07 06:37:00
940,2015-06-07 07:37:00
946,2015-06-07 08:37:00
952,2015-06-07 09:37:00
958,2015-06-07 10:37:00
964,2015-06-07 11:37:00
970,2015-06-07 12:37:00
976,2015-06-07 13:37:00
982,2015-06-07 14:37:00
988,2015-06-07 15:37:00
994,2015-06-07 16:37:00
1000,2015-06-07 17:37:00
1006,2015-06-07 18:37:00
1012,2015-06-07 19:37:00
1018,2015-06-07 20:37:00
1024,2015-06-07 21:37:00
1030,2015-06-07 22:37:00
1036,2015-06-07 23:37:00
1042,2015-06-08 00:37:00
1048,2015-06-08 01:37:00
1054,2015-06-08 02:37:00
1060,2015-06-08 03:37:00
1066,2015-06-08 04:37:00
1072,2015-06-08 05:37:00
1078,2015-06-08 06:37:00
1084,2015-06-08 07:37:00
1090,2015-06-08 08:37:00
1096,2015-06-08 09:37:00
1102,2015-06-08 10:37:00
1108,2015-06-08 11:37:00
1114,2015-06-08 12:37:00
1120,2015-06-08 13:37:00
1126,2015-06-08 14:37:00
1132,2015-06-08 15:37:00
1138,2015-06-08 16:37:00
1144,2015-06-08 17:37:00
1150,2015-06-08 18:37:00
1156,2015-06-08 19:37:00
1162,2015-06-08 20:37:00
1168,2015-06-08 21:37:00
1174,2015-06-08 22:37:00
1180,2015-06-08 23:37:00
1186,2015-06-09 00:37:00
1192,2015-06-09 01:37:00
1198,2015-06-09 02:37:00
1204,2015-06-09 03:37:00
1210,2015-06-09 04:37:00
1216,2015-06-09 05:37:00
1222,2015-06-09 06:37:00
1228,2015-06-09 07:37:00
1234,2015-06-09 08:37:00
1240,2015-06-09 09:37:00
1246,2015-06-09 10:37:00
1252,2015-06-09 11:37:00
1258,2015-06-09 12:37:00
1264,2015-06-09 13:37:00
1270,2015-06-09 14:37:00
1276,2015-06-09 15:37:00
1282,2015-06-09 16:37:00
1288,2015-06-09 17:37:00
1294,2015-06-09 18:37:00
1300,2015-06-09 19:37:00
1306,2015-06-09 20:37:00
1312,2015-06-09 21:37:00
1318,2015-06-09 22:37:00
1324,2015-06-09 23:37:00
1330,2015-06-10 00:37:00
1336,2015-06-10 01:37:00
1342,2015-06-10 02:37:00
1348,2015-06-10 03:37:00
1354,2015-06-10 04:37:00
1360,2015-06-10 05:37:00
1366,2015-06-10 06:37:00
1372,2015-06-10 07:37:00
1378,2015-06-10 08:37:00
1384,2015-06-10 09:37:00
1390,2015-06-10 10:37:00
1396,2015-06-10 11:37:00
1402,2015-06-10 12:37:00
1408,2015-06-10 13:37:00
1414,2015-06-10 14:37:00
1420,2015-06-10 15:37:00
1426,2015-06-10 16:37:00
1432,2015-06-10 17:37:00
1438,2015-06-10 18:37:00
1444,2015-06-10 19:37:00
1450,2015-06-10 20:37:00
1456,2015-06-10 21:37:00
1462,2015-06-10 22:37:00
1468,2015-06-10 23:37:00
1474,2015-06-11 00:37:00
1480,2015-06-11 01:37:00
1486,2015-06-11 02:37:00
1492,2015-06-11 03:37:00
1498,2015-06-11 04:37:00
1504,2015-06-11 05:37:00
1510,2015-06-11 06:37:00
1516,2015-06-11 07:37:00
1522,2015-06-11 08:37:00
1528,2015-06-11 09:37:00
1534,2015-06-11 10:37:00
1540,2015-06-11 11:37:00
1546,2015-06-11 12:37:00
1552,2015-06-11 13:37:00
1558,2015-06-11 14:37:00
1564,2015-06-11 15:37:00
1570,2015-06-11 16:37:00
1576,2015-06-11 17:37:00
1582,2015-06-11 18:37:00
1588,2015-06-11 19:37:00
1594,2015-06-11 20:37:00
1600,2015-06-11 21:37:00
1606,2015-06-11 22:37:00
1612,2015-06-11 23:37:00
1618,2015-06-12 00:37:00
1624,2015-06-12 01:37:00
1630,2015-06-12 02:37:00
