window_start,window_time
400,2015-06-03 13:37:01
406,2015-06-03 14:37:01
412,2015-06-03 15:37:01
418,2015-06-03 16:37:01
424,2015-06-03 17:37:01
430,2015-06-03 18:37:01
436,2015-06-03 19:37:01
442,2015-06-03 20:37:01
448,2015-06-03 21:37:01
454,2015-06-03 22:37:01
460,2015-06-03 23:37:01
466,2015-06-04 00:37:01
472,2015-06-04 01:37:01
478,2015-06-04 02:37:01
484,2015-06-04 03:37:01
490,2015-06-04 04:37:01
496,2015-06-04 05:37:01
502,2015-06-04 06:37:01
508,2015-06-04 07:37:01
514,2015-06-04 08:37:01
520,2015-06-04 09:37:01
526,2015-06-04 10:37:01
532,2015-06-04 11:37:01
538,2015-06-04 12:37:01
544,2015-06-04 13:37:01
550,2015-06-04 14:37:01
556,2015-06-04 15:37:01
562,2015-06-04 16:37:01
568,2015-06-04 17:37:01
574,2015-06-04 18:37:01
580,2015-06-04 19:37:01
586,2015-06-04 20:37:01
592,2015-06-04 21:37:01
598,2015-06-04 22:37:01
604,2015-06-04 23:37:01
610,2015-06-05 00:37:01
616,2015-06-05 01:37:01
622,2015-06-05 02:37:01
628,2015-06-05 03:37:01
634,2015-06-05 04:37:01
640,2015-06-05 05:37:01
646,2015-06-05 06:37:01
652,2015-06-05 07:37:01
658,2015-06-05 08:37:01
664,2015-06-05 09:37:01
670,2015-06-05 10:37:01
676,2015-06-05 11:37:01
682,2015-06-05 12:37:01
688,2015-06-05 13:37:01
694,2015-06-05 14:37:01
700,2015-06-05 15:37:01
706,2015-06-05 16:37:01
712,2015-06-05 17:37:01
718,2015-06-05 18:37:01
724,2015-06-05 19:37:01
730,2015-06-05 20:37:01
736,2015-06-05 21:37:01
742,2015-06-05 22:37:01
748,2015-06-05 23:37:01
754,2015-06-06 00:37:01
760,2015-06-06 01:37:01
766,2015-06-06 02:37:01
772,2015-06-06 03:37:01
778,2015-06-06 04:37:01
784,2015-06-06 05:37:01
790,2015-06-06 06:37:01
796,2015-06-06 07:37:01
802,2015-06-06 08:37:01
808,2015-06-06 09:37:01
814,2015-06-06 10:37:01
820,2015-06-06 11:37:01
826,2015-06-06 12:37:01
832,2015-06-06 13:37:01
838,2015-06-06 14:37:01
844,2015-06-06 15:37:01
850,2015-06-06 16:37:01
856,2015-06-06 17:37:01
862,2015-06-06 18:37:01
868,2015-06-06 19:37:01
874,2015-06-06 20:37:01
880,2015-06-06 21:37:01
886,2015-06-06 22:37:01
892,2015-06-06 23:37:01
898,2015-06-07 00:37:01
904,2015-06-07 01:37:01
910,2015-06-07 02:37:01
916,2015-06-07 03:37:01
922,2015-06-07 04:37:01
928,2015-06-07 05:37:01
934,2015-06-07 06:37:01
940,2015-06-07 07:37:01
946,2015-06-07 08:37:01
952,2015-06-07 09:37:01
958,2015-06-07 10:37:01
964,2015-06-07 11:37:01
970,2015-06-07 12:37:01
976,2015-06-07 13:37:01
982,2015-06-07 14:37:01
988,2015-06-07 15:37:01
994,2015-06-07 16:37:01
1000,2015-06-07 17:37:01
1006,2015-06-07 18:37:01
1012,2015-06-07 19:37:01
1018,2015-06-07 20:37:01
1024,2015-06-07 21:37:01
1030,2015-06-07 22:37:01
1036,2015-06-07 23:37:01
1042,2015-06-08 00:37:01
1048,2015-06-08 01:37:01
1054,2015-06-08 02:37:01
1060,2015-06-08 03:37:01
1066,2015-06-08 04:37:01
1072,2015-06-08 05:37:01
1078,2015-06-08 06:37:01
1084,2015-06-08 07:37:01
1090,2015-06-08 08:37:01
1096,2015-06-08 09:37:01
1102,2015-06-08 10:37:01
1108,2015-06-08 11:37:01
1114,2015-06-08 12:37:01
1120,2015-06-08 13:37:01
1126,2015-06-08 14:37:01
1132,2015-06-08 15:37:01
1138,2015-06-08 16:37:01
1144,2015-06-08 17:37:01
1150,2015-06-08 18:37:01
1156,2015-06-08 19:37:01
1162,2015-06-08 20:37:01
1168,2015-06-08 21:37:01
1174,2015-06-08 22:37:01
1180,2015-06-08 23:37:01
1186,2015-06-09 00:37:01
1192,2015-06-09 01:37:01
1198,2015-06-09 02:37:01
1204,2015-06-09 03:37:01
1210,2015-06-09 04:37:01
1216,2015-06-09 05:37:01
1222,2015-06-09 06:37:01
1228,2015-06-09 07:37:01
1234,2015-06-09 08:37:01
1240,2015-06-09 09:37:01
1246,2015-06-09 10:37:01
1252,2015-06-09 11:37:01
1258,2015-06-09 12:37:01
1264,2015-06-09 13:37:01
1270,2015-06-09 14:37:01
1276,2015-06-09 15:37:01
1282,2015-06-09 16:37:01
1288,2015-06-09 17:37:01
1294,2015-06-09 18:37:01
1300,2015-06-09 19:37:01
1306,2015-06-09 20:37:01
1312,2015-06-09 21:37:01
1318,2015-06-09 22:37:01
1324,2015-06-09 23:37:01
1330,2015-06-10 00:37:01
1336,2015-06-10 01:37:01
1342,2015-06-10 02:37:01
1348,2015-06-10 03:37:01
1354,2015-06-10 04:37:01
1360,2015-06-10 05:37:01
1366,2015-06-10 06:37:01
1372,2015-06-10 07:37:01
1378,2015-06-10 08:37:01
1384,2015-06-10 09:37:01
1390,2015-06-10 10:37:01
1396,2015-06-10 11:37:01
1402,2015-06-10 12:37:01
1408,2015-06-10 13:37:01
1414,2015-06-10 14:37:01
